month_index,category,amount
1,Food,536.1
1,Shopping,348.74
1,Bills,639.96
1,Travel,241.61
1,Entertainment,181.75
1,Health,176.84
1,Education,119.2
1,Investments,281.31
1,Others,105.23
2,Food,568.16
2,Shopping,304.77
2,Bills,788.88
2,Travel,210.62
2,Entertainment,200.83
2,Health,158.23
2,Education,221.72
2,Investments,240.36
2,Others,117.51
3,Food,523.14
3,Shopping,286.99
3,Bills,772.43
3,Travel,180.67
3,Entertainment,168.19
3,Health,137.9
3,Education,147.41
3,Investments,284.77
3,Others,116.96
4,Food,477.66
4,Shopping,303.58
4,Bills,704.2
4,Travel,201.88
4,Entertainment,126.87
4,Health,151.47
4,Education,146.16
4,Investments,253.78
4,Others,136.95
5,Food,464.29
5,Shopping,272.69
5,Bills,749.5
5,Travel,239.97
5,Entertainment,218.47
5,Health,148.9
5,Education,88.16
5,Investments,219.28
5,Others,83.93
6,Food,571.41
6,Shopping,350.8
6,Bills,726.77
6,Travel,147.33
6,Entertainment,166.19
6,Health,177.97
6,Education,139.13
6,Investments,274.98
6,Others,52.32
7,Food,526.43
7,Shopping,347.98
7,Bills,766.09
7,Travel,249.23
7,Entertainment,219.61
7,Health,170.38
7,Education,213.57
7,Investments,229.05
7,Others,120.48
8,Food,553.14
8,Shopping,406.86
8,Bills,749.22
8,Travel,224.21
8,Entertainment,194.41
8,Health,86.4
8,Education,114.73
8,Investments,373.11
8,Others,138.39
9,Food,430.09
9,Shopping,302.28
9,Bills,676.4
9,Travel,340.62
9,Entertainment,204.72
9,Health,97.14
9,Education,155.01
9,Investments,257.56
9,Others,70.25
10,Food,512.05
10,Shopping,468.76
10,Bills,769.45
10,Travel,281.01
10,Entertainment,178.55
10,Health,97.0
10,Education,113.04
10,Investments,271.66
10,Others,230.14
11,Food,549.74
11,Shopping,431.69
11,Bills,720.61
11,Travel,309.44
11,Entertainment,269.29
11,Health,59.94
11,Education,182.43
11,Investments,286.69
11,Others,52.32
12,Food,641.57
12,Shopping,303.04
12,Bills,738.75
12,Travel,291.4
12,Entertainment,124.5
12,Health,137.79
12,Education,142.98
12,Investments,365.89
12,Others,82.23
13,Food,567.67
13,Shopping,332.77
13,Bills,842.45
13,Travel,317.27
13,Entertainment,216.1
13,Health,125.71
13,Education,142.56
13,Investments,424.77
13,Others,130.17
14,Food,536.01
14,Shopping,311.48
14,Bills,770.75
14,Travel,179.68
14,Entertainment,225.67
14,Health,259.26
14,Education,133.81
14,Investments,216.45
14,Others,190.95
15,Food,563.13
15,Shopping,420.71
15,Bills,695.35
15,Travel,324.34
15,Entertainment,277.11
15,Health,162.27
15,Education,91.3
15,Investments,227.59
15,Others,78.45
16,Food,618.13
16,Shopping,335.87
16,Bills,830.39
16,Travel,172.49
16,Entertainment,183.52
16,Health,235.4
16,Education,103.44
16,Investments,256.02
16,Others,119.92
17,Food,524.46
17,Shopping,471.19
17,Bills,772.38
17,Travel,317.09
17,Entertainment,155.73
17,Health,172.08
17,Education,220.89
17,Investments,324.07
17,Others,93.08
18,Food,479.99
18,Shopping,417.88
18,Bills,781.82
18,Travel,314.67
18,Entertainment,299.74
18,Health,206.78
18,Education,223.36
18,Investments,419.94
18,Others,187.15
19,Food,539.74
19,Shopping,354.99
19,Bills,880.74
19,Travel,311.9
19,Entertainment,313.68
19,Health,302.71
19,Education,251.17
19,Investments,311.48
19,Others,231.76
20,Food,485.06
20,Shopping,234.26
20,Bills,807.03
20,Travel,310.59
20,Entertainment,306.48
20,Health,207.06
20,Education,163.4
20,Investments,270.01
20,Others,247.99
21,Food,678.7
21,Shopping,374.68
21,Bills,848.61
21,Travel,276.65
21,Entertainment,164.46
21,Health,301.84
21,Education,100.86
21,Investments,400.79
21,Others,174.86
22,Food,596.8
22,Shopping,483.71
22,Bills,739.95
22,Travel,430.9
22,Entertainment,175.26
22,Health,68.11
22,Education,306.52
22,Investments,260.56
22,Others,76.69
23,Food,677.29
23,Shopping,429.74
23,Bills,741.74
23,Travel,229.15
23,Entertainment,161.02
23,Health,100.98
23,Education,65.18
23,Investments,268.44
23,Others,177.22
24,Food,461.34
24,Shopping,444.75
24,Bills,670.91
24,Travel,90.72
24,Entertainment,388.4
24,Health,258.45
24,Education,131.38
24,Investments,207.36
24,Others,216.43
